Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available,geometry,koppen_color_id,#_yr_data,circle_size,filename
US-Wkg,Walnut Gulch Kendall Grasslands,Russell Scott (russ.scott@ars.usda.gov),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bsk,Steppe: warm winter,407.0,15.64,USA,31.7365,-109.9419,1531.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246112,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1984575,2004,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, USTAR, WD, WS",,POINT (-109.9419 31.7365),7,18.0,45,AMF_US-Wkg_FLUXNET_FULLSET_HH_2004-2021_3-5.csv
US-Bar,Bartlett Experimental Forest,Andrew Richardson (Andrew.Richardson@nau.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1245.77,5.61,USA,44.0646,-71.2881,272.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246030,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2006969,2004,,"CO2, FC, H, LE, NETRAD, P, PA, PPFD_BC_IN, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-71.2881 44.0646),26,18.0,45,AMF_US-Bar_FLUXNET_FULLSET_HH_2004-2021_3-5.csv
US-ARM,ARM Southern Great Plains site- Lamont,Sebastien Biraud (SCBiraud@lbl.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",843.0,14.76,USA,36.6058,-97.4888,314.0,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246027,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1854366,2002,,"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_DIF, SW_DIR, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX",,POINT (-97.4888 36.6058),14,18.0,45,AMF_US-ARM_FLUXNET_FULLSET_HH_2003-2020_3-5.csv
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036.0,8.0,Canada,42.6609,-80.5595,265.0,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246009,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/2006962,2003,,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SWC, SW_IN, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,POINT (-80.5595 42.6609),26,16.0,45,AMF_CA-TP1_FLUXNET_FULLSET_HH_2002-2017_3-5.csv
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036.0,8.0,Canada,42.7068,-80.3483,184.0,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246011,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1881566,2003,,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SWC, SW_IN, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,POINT (-80.34829999999999 42.7068),26,16.0,45,AMF_CA-TP3_FLUXNET_FULLSET_HH_2002-2017_3-5.csv
US-GLE,GLEES,Rob Hubbard (robert.hubbard@usda.gov),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",1200.0,0.8,USA,41.3665,-106.2399,3197.0,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1246056,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1871136,2002,,"CO2, D_SNOW, FC, G, H, H2O, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SC, SW_BC_IN, SW_BC_OUT, SWC, SW_IN, SW_OUT, TA, TAU, T_CANOPY, TS, TSN, USTAR, VPD, WD, WS, ZL",,POINT (-106.2399 41.3665),27,16.0,45,AMF_US-GLE_FLUXNET_FULLSET_HH_2005-2020_3-5.csv
US-MOz,Missouri Ozark Site,Lianhong Gu (lianhong-gu@ornl.gov),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",986.0,12.11,USA,38.7441,-92.2,219.4,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1246081,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1854370,2004,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS",,POINT (-92.2 38.7441),14,16.0,45,AMF_US-MOz_FLUXNET_FULLSET_HH_2004-2019_3-5.csv
US-UMd,UMBS Disturbance,Gil Bohrer (bohrer.17@osu.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,803.0,5.83,USA,45.5625,-84.6975,239.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246134,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881597,2007,,"CO2, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_DIF, PPFD_IN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-84.69750000000001 45.5625),26,15.0,45,AMF_US-UMd_FLUXNET_FULLSET_HH_2007-2021_3-5.csv
US-Vcm,Valles Caldera Mixed Conifer,Marcy Litvak (mlitvak@unm.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,646.0,6.4,USA,35.8884,-106.5321,3030.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246121,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2229391,2007,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,POINT (-106.5321 35.8884),26,15.0,45,AMF_US-Vcm_FLUXNET_FULLSET_HH_2007-2021_3-5.csv
US-UMB,Univ. of Mich. Biological Station,Gil Bohrer (bohrer.17@osu.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,803.0,5.83,USA,45.5598,-84.7138,234.0,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246107,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204882,1999,,"APAR, CO2, FAPAR, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",,POINT (-84.71380000000001 45.5598),26,15.0,45,AMF_US-UMB_FLUXNET_FULLSET_HH_2007-2021_3-5.csv
US-Vcp,Valles Caldera Ponderosa Pine,Marcy Litvak (mlitvak@unm.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,550.0,9.8,USA,35.8642,-106.5967,2500.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246122,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2229392,2007,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,POINT (-106.5967 35.8642),26,15.0,45,AMF_US-Vcp_FLUXNET_FULLSET_HH_2007-2021_3-5.csv
